ID	Rt	Mz	QC1-NEG	QC2-NEG	QC3-NEG	QC4-NEG	QC5-NEG	VA1EE1-NEG	VA1EE2-NEG	VA1EE3-NEG	VA1EM1-NEG	VA1EM2-NEG	VA1EM3-NEG	VB1EE1-NEG	VB1EE2-NEG	VB1EE3-NEG	VB1EM1-NEG	VB1EM2-NEG	VB1EM3-NEG	VC1EE1-NEG	VC1EE2-NEG	VC1EE3-NEG	VC1EM1-NEG	VC1EM2-NEG	VC1EM3-NEG	BLK	MIX	QC	VAEE	VAEM	VBEE	VBEM	VCEE	VCEM
926	2.54	155.0225	0	0	0	0	0	0	0	7382	0	12141	7097	0	40394	0	8894	0	8097	0	0	0	0	0	0	0	3802219	0	2461	6413	13465	5663	0	0
927	3.75	155.0226	728	0	6730	0	498	543	707	533	843	1320	543	552	0	7690	810	11517	746	825	0	630	750	600	883	314	152528	1591	594	902	2747	4358	485	744
964	0.59	156.0768	35800	40800	21100	34400	51300	8340	0	0	962	463	0	73388	108008	91454	164317	90848	143583	0	0	0	0	0	0	251	0	36704	2781	475	90950	132916	0	0
976	0.67	156.9901	0	0	0	0	0	0	69600	69733	0	0	0	0	0	0	438862	0	339462	0	0	0	0	0	0	0	0	0	46442	0	0	259441	0	0
981	4.97	157.0110	128000	168000	177000	170000	204000	67900	44800	58875	144038	315078	343642	67852	82252	66461	541547	195720	657200	42580	50774	34461	48576	33476	44196	31807	35179	169481	57198	267586	72188	464822	42605	42083
988	0.94	157.0498	338000	377000	359000	357000	399000	93200	53000	80708	42717	28851	41296	894973	1027947	1223663	380571	100770	237090	48817	92010	89713	46316	49715	61801	52731	46477	366003	75642	37622	1048861	239477	76847	52611
1018	0.65	158.0113	24700	0	0	12900	0	0	0	0	73582	53271	48072	28078	0	17331	49481	0	0	817792	0	0	209990	85219	0	40698	3297534	7510	0	58308	15136	16494	272597	98403
1074	0.66	159.0077	0	17900	17600	0	21000	169000	27400	35083	264209	92976	77204	0	0	0	108831	19182	0	4305390	92216	119226	1170393	378096	59191	63728	4879668	11298	77053	144796	0	42671	1505611	535894
1077	6.49	159.1018	264000	259000	239000	265000	227000	826000	910000	1157907	52889	66618	101685	113254	80396	49342	103160	61319	45557	44244	84756	77035	51249	48404	16492	50716	193041	250574	964622	73731	80997	70012	68679	38715
1113	0.69	160.0606	624000	832000	612000	737000	666000	630000	540000	523967	652411	1385713	2002715	710307	917679	923505	1194741	4246292	1466506	217856	376359	253894	1287297	1297058	1063147	11953	15464	694286	564554	1346946	850497	2302513	282703	1215834
1160	1.21	160.9999	11800	0	0	0	0	0	0	0	9060	7870	0	7509	0	0	0	0	0	0	16035	0	9980	0	0	0	7792504	2364	0	5643	2503	0	5345	3327
1167	0.64	161.0446	6890000	25500000	26500000	1720000	186000	21200000	22500000	24265340	3745922	5394927	6381350	14779787	42552272	55512860	12202194	263614	54152728	3811930	38813308	18488464	9791170	9073526	7823738	393192	7912429	12164181	22645989	5174066	37614973	22206179	20371234	8896145
1171	5.11	161.0809	190000	222000	206000	219000	241000	76400	73700	92624	53284	92311	102233	476408	545775	513689	655423	169631	771163	8024	39609	28187	61642	43064	45590	7113	0	215650	80916	82609	511957	532072	25274	50099
1172	4.38	161.0809	77100	676000	676000	760000	744000	1160000	1290000	628133	295912	626084	935396	456538	558741	479270	544421	181547	616648	794140	1018081	600933	483241	328891	441367	5589	33480	586568	1026066	619131	498183	447538	804385	417833
1174	15.66	161.8489	163000	78700	69600	78800	7840	144000	281000	304140	106359	295904	335322	9616	27284	13922	10610	9390	11867	8820	15858	8276	7338	10154	10725	16174	19081	79587	243077	245862	16941	10623	10985	9406
1230	2.62	163.0199	165000	119000	142000	158000	157000	121000	134000	173357	29290	94972	67382	199169	240483	171150	142331	69110	137741	293616	314734	242695	19935	36502	31136	9701	289249	148232	142799	63881	203601	116394	283682	29191
1231	0.70	163.0240	3860000	2890000	3870000	4410000	4170000	8530000	7410000	4814500	1562350	1542712	1585918	1661062	1590439	910423	712609	188274	857890	8913792	12255266	7609122	1562891	1316238	1746549	101668	2603617	3841823	6918156	1563660	1387308	586258	9592727	1541892
1232	0.87	163.0241	306000	988000	500000	460000	1210000	2830000	1050000	3482482	399729	378194	286700	782329	318299	471282	304396	128847	209612	1353908	2999138	1435556	223852	145399	146415	13175	12999	693252	2452234	354874	523970	214285	1929534	171889
1233	6.04	163.0392	511000	340000	309000	339000	313000	602000	495000	1189267	295020	174067	199670	120944	118127	124156	89115	74173	81111	251857	206343	171894	110592	109608	86244	63605	1501142784	362362	762235	222919	121076	81466	210032	102148
1234	8.09	163.0393	2040000	1580000	1610000	470000	1600000	1030000	814000	987629	61241	570889	822326	208447	150123	133209	104637	73143	61806	1069607	1311927	752502	7398559	7654169	78875	55059	4462335	1459239	942888	484819	163926	79862	1044679	5043868
1235	7.45	163.0393	1040000	685000	594000	481000	539000	1610000	1610000	2269390	416801	543125	719768	188360	153838	143787	363294	111120	555261	400141	329522	193773	294649	376130	276958	54278	6032871	667172	1830194	559898	161995	343225	307812	315912
1236	5.20	163.0393	5590000	4300000	5240000	4900000	4880000	14900000	16800000	16880284	2715956	6043760	8903966	642407	271651	197720	1567743	401770	1646502	679777	613166	368079	1812348	523093	1398120	54313	621856896	4978482	16208057	5887894	370593	1205339	553674	1244520
1238	10.49	163.0393	460000	227000	216000	223000	190000	127000	120000	150254	62979	98632	115897	147705	125777	107847	73947	67770	61895	439950	431950	291944	969364	851452	1134093	55389	2119283	263256	132657	92503	127109	67871	387948	984970
1239	5.07	163.0393	11800000	12100000	11900000	10300000	13200000	24900000	23500000	27295398	16519911	13784008	15467228	2117452	1742183	1486986	1252405	589626	1626386	14089341	15937142	7316048	5657468	6934729	11106236	39801	1636035	11856741	25218417	15257049	1782207	1156139	12447510	7899478
1242	0.65	163.0601	4380000	4040000	3870000	4110000	3310000	587000	770000	798503	629198	895372	1156432	6156275	6138823	5940044	9843107	4325888	9158879	266006	272030	179724	675000	609996	715481	9578	8808	3943621	718583	893668	6078381	7775958	239254	666826
1243	0.94	163.0613	62900	625000	71800	87000	29600	22300	13500	15621	32964	32079	132926	600763	130476	50402	121773	71048	703987	1948	34137	18813	39635	17605	17083	6383	0	175211	17143	65990	260547	298936	18300	24774
1244	6.28	163.0753	51100	48400	47700	66200	14100	32100	26600	26780	31936	39309	16415	41867	72626	72924	191457	95809	267266	9189	10630	7071	14267	8403	10290	7729	8616	45513	28489	29220	62472	184844	8964	10986
1245	15.08	163.0754	9560	41000	10100	0	0	75800	53700	61459	0	22094	43761	4377	0	8435	6061	0	6603	0	5058	6351	20954	16722	0	2926	0	12126	63642	21952	4271	4221	3803	12559
1246	5.20	163.1055	1210	0	0	0	0	15300	8580	25509	0	0	4474	0	0	16824	0	0	0	9945	8807	920	0	0	0	0	603055	242	16451	1491	5608	0	6557	0
1251	15.68	163.8463	192000	92700	84200	55900	62200	250000	281000	269964	139570	272825	364708	9841	7782	10387	17118	6336	15787	16521	5795	8863	6387	8065	7405	12690	39870	97396	267044	259035	9337	13080	10393	7285
1314	2.25	165.0186	4120000	4860000	4690000	4960000	5290000	136000	175000	180887	53848	81200	127501	6080787	7252685	6187752	4966806	696259	5596772	1534194	1927545	1149053	22958	44620	35166	26410	489335	4783228	163951	87516	6507075	3753279	1536931	34248
1316	2.39	165.0186	920000	3930000	4690000	4960000	2030000	109000	107000	92330	38710	27425	66491	643560	2081638	1775143	3702000	1882149	3775194	750281	1044300	523744	37841	44620	35166	11633	34963	3304951	102693	44209	1500114	3119781	772775	39209
1319	0.67	165.0398	8830000	9080000	7430000	11100000	8030000	9880000	11800000	14751937	5877426	10672630	12868158	15428135	11897754	13892852	16373594	5547160	15958958	6828885	9389317	4397864	4645357	3961469	408884	34190	26168	8889522	12132086	9806071	13739580	12626571	6872022	3005237
1320	14.83	165.0548	437000	115000	78500	45600	44300	112000	110000	97729	57616	58169	63798	215125	194240	148242	80757	49904	58104	333601	275570	235867	84556	78972	85743	29521	1593124	144203	106359	59861	185869	62922	281679	83090
1321	3.09	165.0548	8620000	9140000	9200000	9710000	10200000	15700000	12800000	21266242	13065326	28717774	33643336	1212226	1233157	994119	1262562	543217	1444116	900506	961774	656925	5206360	2658167	5407429	43590	36974	9374352	16587280	25142145	1146501	1083299	839735	4423985
1322	5.84	165.0548	4590000	3690000	4160000	597000	3580000	16700000	13800000	16786520	1793408	1976596	341015	183395	172417	144193	266181	67132	61995	387710	1007468	239174	243229	1142963	120612	30951	242224128	3322950	15759658	1370340	166668	131769	544784	502268
1323	7.15	165.0548	1170000	731000	671000	599000	191000	1550000	331000	724212	371194	593755	955572	240080	187341	165130	144167	48584	69482	567743	348884	278478	554180	1079012	96781	45623	7032250	673404	868781	640174	197517	87411	398368	576658
1324	9.56	165.0548	575000	128000	84800	38700	45700	104000	114000	120572	51829	63227	44934	223650	183523	153267	69111	51982	65114	396710	358992	226371	73592	83481	67893	34043	3227748	174454	112956	53330	186814	62069	327358	74989
1325	10.60	165.0548	559000	158000	70000	60100	61800	117000	111000	115573	70999	49056	52979	212720	177263	160569	68113	68054	69528	428129	281945	244194	90724	91234	56229	31645	2641741	181651	114633	57678	183518	68565	318089	79396
1326	4.00	165.0548	799000	224000	2920000	652000	1110000	544000	1930000	21834608	498292	213335	15609206	229416	218077	163935	70396	70274	62749	407988	366372	251426	131840	3284182	98003	25639	17661	1141913	8102719	5440278	203809	67806	341929	1171342
1327	6.03	165.0548	1830000	1470000	1100000	1510000	1400000	6040000	5420000	6315338	852607	946811	1293750	222172	186009	185066	94094	75568	110328	426854	367258	259747	165546	147989	194892	31009	16146136	1458690	5923568	1031056	197749	93330	351286	169475
1328	8.57	165.0548	611000	152000	100000	41300	64800	162000	148000	147789	48944	27513	66674	198290	167372	168790	63224	84043	73079	422949	370992	258531	103515	101302	42952	35166	4192525	193805	152575	47710	178151	73449	350824	82590
1329	0.64	165.0759	93300	148000	86900	131000	102000	122000	168000	207502	34776	62711	123009	347544	191561	415736	0	36085	0	29009	0	0	0	0	0	0	0	112258	165759	73498	318280	12028	9670	0
1330	5.37	165.1211	0	0	0	6800	0	0	0	0	0	0	0	0	8636	0	22516	0	0	0	8904	0	0	0	0	0	6605782	1359	0	0	2879	7505	2968	0
1331	5.49	165.1232	0	0	0	0	0	0	0	0	0	0	0	0	8636	0	22516	0	0	0	8904	0	0	0	0	0	271024	0	0	0	2879	7505	2968	0
1344	2.30	166.0218	276000	288000	448000	391000	480000	14500	34700	20474	25136	14784	9145	546223	625322	569600	346111	191426	284167	146478	201482	127260	43349	15824	0	22048	41548	376598	23212	16355	580382	273901	158407	19724
1346	5.99	166.0502	89200	81300	9260	13400	134000	87400	85300	119052	8232	81635	125365	9983	10007	13215	19236	9340	9535	32454	85163	21530	9717	15239	767624	11228	143184	65433	97251	71744	11068	12703	46382	264194
